研究種目
国際共同研究加速基金(国際共同研究強化(B))
基盤研究(A)
基盤研究(B)
基盤研究(C)
基盤研究(S)
学術変革領域研究(A)
学術変革領域研究(B)
挑戦的研究(萌芽)
挑戦的研究(開拓)
新学術領域研究(研究領域提案型)
特別推進研究
特別研究促進費
