研究種目
国際共同研究加速基金(国際共同研究強化(A))
国際共同研究加速基金(国際共同研究強化(B))
国際共同研究加速基金(国際共同研究強化)
国際共同研究加速基金(帰国発展研究)
基盤研究(A)
基盤研究(B)
基盤研究(C)
基盤研究(S)
奨励研究
学術変革領域研究(A)
学術変革領域研究(B)
挑戦的研究(萌芽)
挑戦的研究(開拓)
新学術領域研究(研究領域提案型)
特別推進研究
特別研究促進費
特別研究員奨励費
研究活動スタート支援
若手研究
若手研究(A)
若手研究(B)
